"","x"
"1",26.8886154
"2",24.0632241
"3",47.51582059
"4",2.126831127
"5",47.58635419
"6",50.06002592
"7",26.62339329
"8",71.96255996
"9",73.69723373
"10",17.98570951
"11",21.4883356
"12",21.32776371
"13",49.05978648
"14",13.60707235
"15",75.73922794
"16",0
"17",20.67171682
"18",37.06517611
"19",40.10891679
"20",1.571873729
"21",13.57958799
"22",19.5845705
"23",5.831100664
"24",34.70564689
"25",33.31429413
"26",28.19737429
"27",51.62190853
"28",55.27637145
"29",14.11609154
"30",28.41522329
"31",41.52339687
"32",0
"33",15.77189806
"34",32.02769538
"35",43.17090647
"36",1.534950141
"37",11.11065538
"38",27.55018583
"39",7.170837693
"40",30.19903029
"41",66.74950767
"42",29.58712422
"43",54.89834317
"44",67.3026444
"45",13.51744578
"46",33.44897797
"47",50.16438472
"48",0
"49",10.65781182
"50",14.7478961
"51",18.27868619
"52",2.475057616
"53",6.119058475
"54",5.449924218
"55",7.802080337
"56",14.23417841
"57",15.41389344
"58",9.46569581
"59",15.23875818
"60",19.59428889
"61",7.787908452
"62",9.677591971
"63",13.17521743
"64",0
"65",14.01864146
"66",30.5912617
"67",38.15573638
"68",0.456472494
"69",3.867385769
"70",7.024622197
"71",2.84616447
"72",18.8690087
"73",25.0736586
"74",21.66658644
"75",48.48749388
"76",58.61075678
"77",4.169292721
"78",11.38334579
"79",24.41818234
"80",0
"81",14.96739578
"82",30.28625472
"83",39.57783871
"84",0.339837285
"85",3.12306153
"86",5.140109821
"87",3.920306162
"88",15.39753007
"89",22.45064906
"90",23.68617418
"91",42.69485888
"92",54.83360857
"93",6.351542297
"94",14.16472216
"95",17.378304
"96",0
"97",3.606676847
"98",35.07866175
"99",43.31814591
"100",0
"101",29.29817829
"102",37.56535564
"103",0.960810012
"104",59.0196812
"105",70.96873006
"106",35.13952712
"107",37.65445791
"108",51.10248957
"109",3.963450153
"110",31.93031022
"111",48.70823186
"112",0
"113",5.008760546
"114",35.08872433
"115",41.2456065
"116",0
"117",13.9769471
"118",18.89524916
"119",0.705195152
"120",32.63234102
"121",31.81837229
"122",30.4254394
"123",53.63578043
"124",59.4767437
"125",2.014671714
"126",26.51352578
"127",36.85037948
"128",0
"129",4.820162197
"130",34.80628557
"131",46.63249784
"132",0
"133",11.74218494
"134",26.65189435
"135",0.546829898
"136",35.87055638
"137",68.84449525
"138",33.8754215
"139",63.0697188
"140",70.62989218
"141",2.481415648
"142",31.6780045
"143",46.01420049
"144",0
"145",22.16644806
"146",23.21156884
"147",34.74876407
"148",0.948128865
"149",16.64966496
"150",19.99982627
"151",4.992379236
"152",53.99699311
"153",57.37548977
"154",22.61165831
"155",28.75149591
"156",26.98890626
"157",20.85782482
"158",20.73475671
"159",30.87112941
"160",0
"161",20.36096013
"162",38.91690391
"163",41.70005044
"164",0.940121626
"165",14.90450687
"166",19.596159
"167",4.179760101
"168",39.00815943
"169",37.1696242
"170",31.61725517
"171",51.21654271
"172",57.55128922
"173",16.17382734
"174",26.58751317
"175",40.41327646
"176",0
"177",16.96531636
"178",34.37725511
"179",43.5835106
"180",0.828206999
"181",13.33632103
"182",26.96354436
"183",4.206951598
"184",39.80435813
"185",66.76359549
"186",38.14302674
"187",56.51667394
"188",67.97172842
"189",13.29271578
"190",32.5166032
"191",47.33481015
"192",0
"193",43.24687429
"194",47.07201706
"195",46.67923287
"196",1.477833017
"197",52.01663098
"198",49.5332891
"199",15.23801636
"200",76.0080606
"201",63.58868193
"202",56.11678026
"203",74.02586359
"204",72.10640605
"205",60.16915393
"206",76.23980932
"207",73.24593194
"208",0
"209",33.75312128
"210",43.98434681
"211",45.01345928
"212",1.141182686
"213",45.26243148
"214",48.87745577
"215",5.1621109
"216",70.20039276
"217",76.21778678
"218",68.57268466
"219",82.68657767
"220",81.20984491
"221",45.5729521
"222",80.41522119
"223",87.27732283
"224",0
"225",46.27953078
"226",50.46562134
"227",51.209226
"228",1.507859973
"229",54.82010788
"230",55.70113322
"231",5.937925103
"232",83.76110277
"233",78.83510746
"234",80.94739685
"235",94.39775173
"236",95.42335131
"237",65.0220022
"238",98.03589777
"239",99.68653196
"240",0
"241",15.4176361
"242",18.97417112
"243",16.81589184
"244",2.663355036
"245",16.04854773
"246",21.9766332
"247",7.641917878
"248",28.39231834
"249",26.6748995
"250",29.97543001
"251",36.30636065
"252",36.58798902
"253",10.54082024
"254",26.25688388
"255",28.58964812
"256",0
"257",16.88486051
"258",41.29698409
"259",43.73298112
"260",0.655700656
"261",33.62905648
"262",41.48980841
"263",2.599454304
"264",66.02401389
"265",72.39052533
"266",68.84655406
"267",82.1847816
"268",80.58917239
"269",15.19452071
"270",83.87445444
"271",86.003404
"272",0
"273",30.01215681
"274",51.39708789
"275",50.13634297
"276",2.942173839
"277",34.96324083
"278",51.01008234
"279",15.31942872
"280",81.56943098
"281",77.57371189
"282",86.68959994
"283",92.91423383
"284",97.56849953
"285",35.55504656
"286",98.73132029
"287",98.28722602
"288",0
"289",5.980979595
"290",50.58289676
"291",45.08048043
"292",0
"293",42.11946098
"294",49.11143206
"295",0.705225291
"296",70.86219062
"297",66.44951759
"298",65.93988128
"299",66.07082051
"300",66.20793624
"301",6.110691586
"302",67.81850094
"303",72.63064909
"304",0
"305",7.837919121
"306",46.74711139
"307",46.25838016
"308",0
"309",37.03037628
"310",43.69560153
"311",0.595872872
"312",70.54955286
"313",80.90409924
"314",70.2055639
"315",83.08846167
"316",85.14465222
"317",3.149733367
"318",78.08461533
"319",82.13737482
"320",0
"321",7.782359234
"322",53.59986981
"323",51.75674767
"324",0
"325",49.61438009
"326",53.675534
"327",0.646778821
"328",86.59757822
"329",84.89551287
"330",91.39064225
"331",97.29293259
"332",99.61910732
"333",4.166287009
"334",92.57247896
"335",94.69105416
"336",0
"337",45.04873884
"338",45.78100103
"339",44.65371267
"340",0.924541619
"341",44.55887608
"342",43.35721014
"343",3.420166341
"344",72.84831426
"345",65.31185167
"346",56.83280355
"347",76.33726193
"348",73.22050209
"349",36.47724246
"350",68.55764886
"351",69.0890435
"352",0
"353",31.88044847
"354",44.81754321
"355",46.6498955
"356",0.668792684
"357",39.52986412
"358",43.87183311
"359",2.74612364
"360",72.63770939
"361",82.32885806
"362",73.64322424
"363",87.90201497
"364",86.21979782
"365",34.20844443
"366",77.33294235
"367",80.60055876
"368",0
"369",42.28229272
"370",50.28665363
"371",49.58296909
"372",1.18600639
"373",48.46327508
"374",49.9274003
"375",4.582095156
"376",78.80108905
"377",79.44483195
"378",84.85609846
"379",93.31083413
"380",93.87454124
"381",44.02752342
"382",89.48065113
"383",91.48509414
"384",0
"385",11.26422659
"386",37.48204887
"387",41.44106124
"388",0
"389",38.30431575
"390",53.10400856
"391",3.075984359
"392",77.3614474
"393",66.8623452
"394",65.32713775
"395",80.44006159
"396",73.90288444
"397",10.6093201
"398",47.24014126
"399",59.52653189
"400",0
"401",34.71645259
"402",43.57302345
"403",48.32439551
"404",0.607063773
"405",28.83783854
"406",37.43255163
"407",2.85991864
"408",70.01345936
"409",78.088776
"410",70.19867654
"411",81.98080261
"412",85.25720997
"413",39.12894222
"414",76.74229373
"415",84.97992801
"416",0
"417",33.61043599
"418",49.6136763
"419",47.45149232
"420",0.928544459
"421",31.04337853
"422",43.13871983
"423",0
"424",81.91726557
"425",84.29748871
"426",86.21497352
"427",92.93093214
"428",98.03384571
"429",43.93331318
"430",94.93580173
"431",96.14798667
"432",0
"433",7.372693174
"434",9.714563227
"435",9.546870881
"436",1.022402294
"437",12.592787
"438",14.01241706
"439",4.337310253
